epoch,train_loss,val_loss,precision,recall,f1
1,0.0421019375302469,0.12449673092780758,0.9229900414018237,0.9965780951218981,0.9575660309078677
2,0.016453345297157095,0.015837342560438686,0.9967820384435728,0.9902419363552013,0.9935005421449996
3,0.01570357065610814,0.011243596509675345,0.9943527006279953,0.9981770495821299,0.9962595397787932
4,0.008501535056614542,0.03395263795842737,0.9958641622634152,0.9757938455713825,0.9856152928134365
5,0.008638776314191753,0.010185166705986914,0.9965339718086432,0.9969407241153745,0.996737216120801
6,0.009099559344928903,0.08034169036498151,0.9644186453699832,0.9951840437421269,0.9792777258528029
7,0.00974112440772826,0.00784772661039685,0.9971357462616315,0.9971015705050865,0.997118651640865
8,0.00616947961713068,0.03993001034818785,0.99587849730571,0.9837072634682364,0.9897547660543934
9,0.013637068242383938,0.0074176283584069715,0.9971776195245431,0.9962847086429409,0.9967299311033184
10,0.0055189059717243956,0.007734527387683385,0.9959638857268439,0.998798369793904,0.9973782727959986
11,0.006160088981228634,0.006191302117844656,0.9968617578803387,0.9984356667970278,0.9976480105555401
12,0.007606805717410089,0.00601893234262824,0.9974983599414625,0.9985397525790062,0.9980183642048321
13,0.005436433386683797,0.005933981289574968,0.9979818105513323,0.9974485231116812,0.9977149630443406
14,0.004362021395305526,0.006900819081585472,0.9979776529063723,0.9968145729863218,0.9973956184920793
15,0.004533165650916452,0.007041917327101432,0.9963164853302462,0.9988267500977708,0.9975695606550684
16,0.006585443231377466,0.010943777819365045,0.9948978711049381,0.9978490418459132,0.9963708325455347
17,0.006873632682322601,0.006640387583921136,0.9962794892017055,0.9990222917481424,0.9976478811401019
18,0.0031939023148345345,0.0057616193391749095,0.998050257656419,0.9979815079317584,0.9980158557863723
19,0.0051449548756355035,0.006390760449475958,0.998175976779272,0.9975683592839412,0.9978720754134257
20,0.006084635557659742,0.005593332816500472,0.9979563433541196,0.9987069139255108,0.9983312353147635
21,0.002992328872346512,0.006131866038922822,0.9972182549625495,0.9988614453584304,0.998038975692125
22,0.0032336818437847833,0.004928218056125301,0.9987958243307632,0.9975620443271485,0.998178244759594
23,0.0033088443627725646,0.005426919929628088,0.9982797000906911,0.9977922812381795,0.998035871467807
24,0.003467804291938573,0.008036459196330555,0.9959919135657772,0.9987289792725851,0.997357814259883
25,0.004597296135960072,0.006848640343532777,0.9976958414064121,0.9982401251466562,0.9979679086453905
26,0.003478317094500237,0.006714262659241487,0.9974684435235248,0.9984703620576872,0.9979690098450773
27,0.0038442888805804223,0.005531506686795086,0.9966985144585078,0.999258843615966,0.9979752235487038
28,0.005790873917103148,0.007163360131935754,0.9974068183576913,0.9988267500977708,0.9981160681911339
29,0.002516371429879005,0.005473055411710034,0.9979195628747071,0.9981486692782631,0.9980340712521883
30,0.0023213654040129643,0.005485446963167328,0.9969007535662395,0.999350299484359,0.9981235009883744
